	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
POLR3D	6.990231372	5.696849419	6.69986839	5.439658223	5.68625294	6.485003162	6.704615742	5.68182842	6.733344899	5.825472061	6.401697882	6.742731249	5.559051153	6.452012616	6.341702184	5.032406029	5.516142485	6.057743015	5.666265805
POLR3E	5.966958245	4.906457381	6.232734372	5.025475159	4.815009687	5.206767861	5.232572468	6.325714901	5.663413211	5.509601986	7.205928552	5.353690557	5.755575006	6.353131111	6.038840362	4.973504337	6.017712601	5.19986196	5.435139042
POLR3F	2.961435059	3.310800993	4.028570673	3.693363059	4.398906594	4.106396368	1.152546466	4.433360808	4.163802995	4.816146278	3.713156302	3.570366046	3.212580146	2.625864473	3.312571451	3.203859851	3.370332443	3.184010779	4.650968413
POLR3G	1.294515079	3.964139016	4.379135033	3.780053559	1.299087575	2.294658422	0.956662521	3.905870893	4.432887061	5.2872028	5.281154375	0.602226198	2.797744183	2.708910287	4.791884509	1.304899817	1.716392667	3.751958024	5.566512833
POLR3GL	4.240179151	3.330513266	3.496704538	3.846654221	4.334949352	3.372998185	2.307843064	3.480422934	2.997707502	3.406428078	2.352422867	3.990423587	2.778389751	3.59413671	3.082259417	5.004465397	4.019375609	3.685702751	3.930656295
POLR3H	5.929403724	5.836561116	6.390499734	6.525604181	5.370489419	5.354908101	7.683227335	5.567143386	6.311944407	5.556397493	6.557246037	6.226245116	6.745279468	6.978511021	6.79281551	6.593582882	6.565399745	6.67228938	5.959088651
POLR3K	3.430938166	4.152104999	4.547262485	3.125605093	2.823546826	3.213274572	5.531481151	3.981199372	4.025948832	5.169898836	6.341324509	5.352928769	4.524012733	5.211442216	5.311366335	4.656048919	3.787357666	5.865385339	5.545155436
POLRMT	6.083694765	5.832482226	6.803159134	5.604494922	4.596616431	5.342979915	6.891126805	6.236293396	5.83031573	6.035242741	6.530256432	6.130813518	5.578065135	5.584871562	5.561098098	5.636022843	5.52155691	6.024622941	6.056745795
POM121	7.141756204	5.348760743	7.110209546	6.341568043	6.68795223	5.492046594	7.762875382	6.293045315	6.910834903	6.632510098	6.334457701	6.57125431	6.385169863	6.011974819	5.588565749	6.308995079	6.32780409	6.477998054	6.059065861
POM121C	7.134381236	5.721151176	6.822836472	6.194300159	6.531762812	5.464989909	7.938577653	6.302578622	6.793000265	6.871636267	6.236689582	6.459628861	6.094700437	6.161623611	5.729048568	6.219465746	6.279315836	6.142002273	5.607773725
POMGNT1	7.347562871	6.578646406	6.794672787	6.685816311	5.821508253	6.81426462	8.833118297	6.066612441	6.735803647	5.042206085	5.752923457	7.644781056	6.708363484	7.059007997	7.070785958	6.687198619	6.606013852	6.047886583	5.986163025
POMGNT2	5.469832052	3.974427068	4.740696188	4.459613327	5.527794288	5.062281743	6.583883412	4.124907023	5.296237927	3.813747854	3.57394628	3.57298519	5.827372664	4.520052104	4.41844483	5.32352791	5.671730656	5.046615105	4.949951163
POMK	2.973294068	1.815303726	2.61164393	2.380914292	3.576928178	2.480348358	1.573234545	1.847749251	2.167887406	0.826776401	2.56132772	2.45676134	2.826297529	1.831936597	1.909732622	2.316597126	3.349607678	2.061723507	3.126258935
POMP	6.100553404	5.606764662	4.847020296	5.094331942	5.772115394	7.09091084	3.673577462	6.704129965	6.406029811	6.673612107	5.65490552	5.989943093	5.376413894	6.102516662	6.354066538	5.594856841	6.620143188	6.328606503	6.332750127
POMT1	5.766870398	4.846109682	4.780653225	5.294739702	5.648982467	5.424896685	6.085168371	4.427035392	5.183678551	5.211251387	4.947263474	5.989453019	2.703406316	4.041363429	3.22911026	5.476063522	5.279169707	4.654739953	3.053655699
POMT2	5.325564317	3.950306486	4.096159941	5.286891039	6.201226122	4.444927725	6.192993064	5.62907362	6.022811245	4.249678247	5.48258621	4.867449189	6.365443381	4.983832069	4.460221256	5.274902522	6.808153526	5.692705285	5.052095748
POMZP3	5.183741804	2.397589843	3.864212705	3.975942523	3.406729836	3.945086002	5.043856555	2.36709461	3.053963185	2.629580387	2.604588392	4.475107404	1.739723491	2.313489499	1.923072448	3.590713114	2.503502069	3.783978496	2.957441104
PON2	5.009265636	6.096219402	5.917883297	6.45980979	5.061849319	5.902563716	3.455838482	5.906465954	7.465000073	5.531061013	5.427722981	5.165209364	5.715430785	4.992145427	5.174452403	6.488578079	4.952594652	4.241474966	5.08813618
POP1	6.97497668	4.423077227	4.931767432	4.233292985	5.271459913	4.381553446	4.33575647	4.752029163	4.512477381	6.32621003	7.646451001	5.53991194	4.589331979	6.299113778	6.665162995	4.992323179	4.520537439	4.863942317	5.635503588
